"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.542,84.676,73.614,79.996,112.837,186.207,243.178,264.554,295.269,80.94,95.51,102.98,132.347,144.955,183.553,238.895,313.737,375.055,472.283,425.922,526.809,591.367,657.854,734.89,811.134,696.088,570.351,529.144,593.897,668.219,598.725,609.479,645.682,487.347,252.109,285.003,334.341,359.267,375.869,408.39,443.602
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.499,9.751,10.824,11.378,10.067,10.686,11.336,12.694,12.609,12.385,14.008,13.957,15.772,16.679,18.783,20.751,21.968,23.063,24.276,25.523
Norway,64.439,63.597,62.647,61.627,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.031,163.52,161.357,154.23,162.384,171.456,174.24,195.915,229.385,265.267,309.979,346.914,402.646,464.915,387.974,431.052,501.361,512.777,526.014,501.737,388.16,370.957,401.745,439.789,408.743,367.633,503.368,596.298,482.95,483.593,517.102,547.693,566.059,583.576,602.031,621.811
Oman,7.269,8.849,9.285,9.733,10.726,11.916,9.433,9.89,9.613,10.743,13.395,13,14.274,14.321,14.808,15.821,17.512,18.154,16.044,17.833,22.259,22.206,23.066,24.734,28.379,35.507,42.578,48.3,69.805,55.454,64.994,77.497,87.409,89.936,92.699,78.711,75.129,80.857,91.506,88.061,75.909,87.324,109.853,105.896,106.943,105.19,108.913,114.174,120.296,126.854,133.367
Pakistan,38.616,45.681,49.932,46.619,50.612,50.607,51.827,54.171,62.385,65.042,65.276,74.158,79.338,83.969,84.642,98.917,103.296,101.848,101.381,96.008,99.421,96.784,98.169,112.507,132.206,145.209,161.871,184.141,202.204,187.074,196.712,230.577,250.094,258.674,271.422,299.93,313.623,339.229,356.163,321.071,300.41,348.481,374.85,336.555,371.408,410.495,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.15,0.159,0.163,0.155,0.166,0.186,0.191,0.196,0.199,0.184,0.184,0.195,0.215,0.226,0.245,0.283,0.303,0.29,0.288,0.282,0.259,0.236,0.247,0.276,0.322,0.341,0.362,0.382,0.401,0.419,0.437
Panama,4.255,4.816,5.321,5.463,5.702,6.032,6.269,6.296,5.443,5.458,5.933,6.524,7.416,8.099,8.636,8.828,10.41,11.248,12.195,12.779,12.962,13.171,13.689,14.426,15.816,17.25,19.116,22.079,26.081,28.114,30.523,35.961,41.916,47.276,51.757,56.08,60.037,64.49,67.316,69.779,57.06,67.396,76.479,83.812,86.524,90.408,95.905,101.736,107.921,114.483,121.443
Papua New Guinea,4.087,4.011,3.805,3.799,3.509,3.25,3.535,3.885,5.4,5.238,4.757,5.596,6.466,7.349,8.077,7.149,7.608,7.272,5.558,5.072,5.169,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.751,23.848,26.113,31.653,30.729,31.496,32.714,33.463,34.708,35.834,36.971,38.29
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.615,22.355,27.129,33.737,33.296,38.651,40.378,36.211,36.09,38.997,40.225,37.925,35.432,39.951,41.953,43.118,44.458,47.398,51.669,54.636,57.69,60.926,64.347
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,120.898,122.214,149.284,170.662,193.021,203.056,204.2,194.425,198.94,219.525,229.824,236.414,209.984,229.832,248.204,271.78,294.675,318.48,326.608,344.74,360.511,376.719,393.88
Philippines,37.082,40.735,42.441,37.953,35.86,34.973,34.129,37.932,43.293,48.652,50.508,51.784,60.422,62.037,73.159,84.644,94.65,94.106,74.492,85.64,83.667,78.921,84.307,87.039,95.002,107.42,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.751,394.087,404.353,437.055,461.617,494.158,533.922,579.389,629.6,685.718,746.498
Poland,56.908,53.921,65.52,75.792,75.893,71.137,74.053,64.04,68.963,67.237,62.401,80.863,89.166,90.828,104.213,139.8,157.485,157.987,172.929,168.657,172.151,191.403,199.694,218.561,256.454,307.158,345.898,429.715,535.612,440.954,478.111,527.848,498.149,518.18,542.266,479.729,472.883,528.497,594.641,602.592,605.93,689.253,695.734,812.959,914.553,1039.619,1109.962,1174.266,1243.528,1313.449,1386.324
Portugal,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.386,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.655,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.639,245.383,216.674,226.681,230.138,199.059,206.249,220.785,242.203,240.142,229.435,256.226,257.101,289.781,308.581,337.936,364.527,377.234,390.742,405.059,420.083
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,100.958,105.126,103.131,106.427,113.844,118.375,125.842,126.546,129.192,133.75,137.743,141.811,145.896
Qatar,6.665,7.374,6.467,5.506,5.708,5.339,4.214,4.441,4.26,4.502,6.266,5.579,6.384,5.804,5.946,6.861,7.761,9.976,8.488,11.266,18.085,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,176.371,144.411,179.732,235.709,213.003,219.631,222.119,239.142,260.125,273.078,282.774,296.845
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.447,40.396,46.035,57.79,75.059,98.547,122.114,174.831,215.567,174.572,170.329,192.846,179.228,189.839,199.989,177.878,185.337,210.53,243.651,251.652,252.372,286.783,296.928,350.847,382.854,422.508,444.807,453.628,466.224,489.38,514.342
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.603,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.901,1393.416,1779.109,1307.927,1633.111,2046.621,2191.486,2288.428,2048.837,1356.703,1280.648,1575.14,1653.005,1695.724,1488.118,1828.927,2295.526,2059.759,2173.225,2540.656,2509.421,2579.614,2658.999,2742.555,2829.861
Rwanda,1.493,1.695,1.808,1.932,1.851,2.199,2.49,2.765,2.959,3.09,2.954,2.179,2.313,2.231,1.418,1.47,1.593,2.144,2.29,2.131,2.049,1.967,1.963,2.139,2.388,2.945,3.318,4.069,5.183,5.675,6.124,6.885,7.654,7.821,8.24,8.546,8.695,9.253,9.638,10.349,10.174,11.066,13.313,14.331,14.251,14.771,15.472,16.308,17.239,18.43,19.968
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.825,0.875,0.953,0.957,1.007,1.057,1.077,1.108,0.884,0.859,0.98,1.06,1.079,1.141,1.19,1.246,1.305,1.368,1.432
Saint Lucia,0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.429,0.486,0.579,0.613,0.674,0.684,0.713,0.762,0.788,0.805,0.877,0.921,0.932,0.892,0.899,0.987,1.066,1.135,1.267,1.331,1.426,1.4,1.483,1.569,1.598,1.66,1.749,1.808,1.869,1.999,2.061,2.095,1.511,1.869,2.334,2.397,2.574,2.659,2.77,2.893,3.021,3.149,3.276
Saint Vincent and the Grenadines,0.089,0.11,0.123,0.132,0.146,0.157,0.173,0.189,0.216,0.232,0.259,0.275,0.3,0.309,0.312,0.341,0.358,0.375,0.403,0.421,0.427,0.461,0.488,0.508,0.549,0.58,0.643,0.713,0.731,0.714,0.72,0.713,0.727,0.766,0.771,0.786,0.814,0.844,0.884,0.91,0.864,0.888,0.97,1.068,1.162,1.238,1.299,1.36,1.425,1.493,1.563
Samoa,0.127,0.119,0.122,0.113,0.111,0.106,0.112,0.124,0.138,0.141,0.182,0.176,0.193,0.198,0.158,0.242,0.258,0.28,0.286,0.262,0.271,0.273,0.289,0.342,0.418,0.486,0.516,0.568,0.684,0.618,0.68,0.744,0.773,0.798,0.797,0.824,0.844,0.885,0.878,0.913,0.869,0.86,0.89,1.045,1.176,1.248,1.333,1.398,1.459,1.534,1.603
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.008,1.06,1.148,1.462,1.714,1.788,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.543,1.857,1.833,2.028,2.082,2.241,2.393,2.462,2.537,2.618,2.701
Saudi Arabia,164.54,184.292,153.24,129.18,119.631,103.894,86.886,85.582,88.138,95.217,117.474,132.047,136.905,132.79,134.995,143.152,158.451,165.742,146.776,161.717,189.515,184.138,189.606,215.808,258.742,328.205,376.398,415.687,519.797,429.098,528.207,680.661,751.921,769.755,787.153,693.415,689.279,741.266,886.564,888.888,767.303,982.661,1239.075,1218.585,1239.805,1268.535,1316.25,1378.839,1448.499,1522.126,1596.411
Senegal,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.405,24.534,27.584,27.75,30.701,32.816,36.839,39.986,42.001,44.381,47.053,50.165
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.995,20.001,12.893,10.431,13.65,17.997,23.627,26.718,28.143,33.421,45.121,54.117,46.949,43.067,51.274,45.111,50.456,49.114,41.297,42.225,45.973,52.788,53.865,55.874,65.83,66.798,81.343,89.074,100.048,112.108,121.291,129.52,138.759,148.706
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.388,1.432,1.568,1.675,1.777,1.867,1.384,1.49,2.018,2.187,2.178,2.23,2.249,2.34,2.454,2.574,2.701
Sierra Leone,2.708,2.903,3.264,2.838,3.283,2.794,2.092,1.823,2.988,2.745,1.509,1.812,1.58,1.786,2.118,2.026,2.188,1.974,1.562,1.555,1.498,1.726,1.99,2.218,2.339,2.738,3.144,3.451,3.926,3.795,4.174,4.799,5.746,6.736,6.521,6.75,6.038,5.823,6.39,6.519,6.682,7.165,7.119,6.397,7.792,8.639,9.302,9.735,10.152,10.63,11.165
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,319.646,343.673,377.124,376.162,349.166,436.591,509.018,505.44,547.387,574.185,606.225,633.141,661.347,690.602,721.319
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.906,16.046,20.297,21.871,22.037,22.917,20.89,20.711,21.384,24.849,33.864,43.023,48.912,57.48,77.26,97.122,89.246,91.186,99.687,94.784,99.136,101.739,89.187,90.322,95.944,106.66,105.855,107.646,120.641,115.975,133.936,141.733,154.587,167.73,175.605,183.737,191.41,199.114
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.285,16.637,16.857,21.399,21.48,20.769,22.08,22.668,20.262,20.693,23.263,29.399,34.19,36.002,39.293,47.886,55.503,49.921,47.832,51.19,46.196,47.868,49.527,42.714,44.279,48.136,53.713,53.916,53.342,61.582,59.946,69.275,72.95,79.221,85.738,89.576,93.612,97.719,102.031
Solomon Islands,0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.185,1.286,1.336,1.308,1.379,1.47,1.615,1.619,1.536,1.523,1.566,1.661,1.778,1.904,2.051,2.182,2.296,2.418,2.546
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.022,5.183,5.869,6.443,6.841,7.391,8.252,7.873,8.655,8.628,9.484,10.203,10.969,12.161,12.944,13.912,15.04,16.213,17.436,18.73
South Africa,89.412,93.15,85.897,96.205,84.838,64.481,73.399,96.533,104.01,108.07,126.027,135.227,146.97,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.749,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,405.093,389.245,337.876,419.878,407.43,381.334,401.076,426.383,443.643,458.443,475.516,493.349,512.017
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.34,11.267,14.947,15.362,14.959,2.21,1.19,2.78,4.044,5.423,5.94,7.533,7.401,4.648,4.979,6.033,6.767,7.087,7.748,8.117
Spain,231.048,204.843,197.89,173.072,172.597,181.847,251.618,318.787,374.535,413.106,536.322,577.166,630.91,529.98,531.801,614.713,642.48,590.5,619.541,635.025,598.367,627.803,708.437,907.736,1069.344,1155.306,1261.914,1476.92,1635.936,1494.963,1429.155,1487.307,1331.838,1362.207,1380.6,1206.287,1242.673,1321.288,1432.292,1403.651,1288.751,1462.216,1449.99,1619.949,1725.152,1891.371,2041.83,2129.615,2208.704,2292.69,2380.017
Sri Lanka,5.194,5.404,5.834,6.298,7.382,7.302,7.826,8.149,8.518,8.55,9.787,10.716,11.553,12.351,14.245,15.127,16.592,18.544,19.05,19.143,20.007,19.236,20.238,22.352,24.423,28.88,33.447,38.27,48.177,49.75,58.643,67.725,70.392,76.934,82.483,85.091,88,94.376,94.484,89.015,84.304,88.609,74.584,83.723,98.964,no data,no data,no data,no data,no data,no data
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.534,64.888,48.906,33.59,31.484,35.237,35.141,33.5,36.983,29.184,35.897,39.474,46.09,50.54,52.73,55.57
Suriname,1.276,1.427,1.469,1.419,1.387,1.402,1.43,1.573,1.864,2.177,0.577,0.637,0.59,0.465,0.523,0.993,1.234,1.322,1.588,1.308,1.355,1.167,1.474,1.729,2,2.393,2.812,3.144,3.783,4.15,4.677,4.735,5.332,5.51,5.612,5.126,3.317,3.592,3.996,4.016,2.912,3.084,3.631,3.445,4.452,4.496,4.87,5.185,6.984,10.923,11.543
Sweden,140.151,127.935,112.912,103.682,107.978,112.932,149.282,181.81,205.868,216.543,259.299,271.721,282.441,212.644,228.7,267.052,291.952,268.25,270.888,274.317,262.902,242.497,267.371,334.072,384.546,391.689,422.526,490.05,514.614,434.311,492.751,570.539,549.74,584.125,577.728,501.602,513.058,535.172,549.649,530.894,544.266,631.693,575.071,578.991,603.715,662.318,711.503,740.513,770.062,800.502,832.1
Switzerland,122.466,112.129,114.891,114.517,109.4,110.965,159.074,199.086,215.36,208.135,265.911,269.003,279.764,272.006,301.246,353.063,340.266,294.841,303.243,297.581,279.284,286.768,309.597,362.151,403.459,418.261,441.865,491.056,566.952,553.882,598.337,715.857,686.542,706.784,726.664,693.814,687.766,695.507,725.889,721.896,741.288,814.696,828.513,894.815,938.153,1002.666,1074.588,1114.378,1163.129,1206.534,1259.072
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.201,0.191,0.228,0.231,0.269,0.295,0.262,0.294,0.325,0.387,0.416,0.476,0.529,0.546,0.696,0.828,0.976,1.125,1.236,1.351,1.479,1.618
Taiwan Province of China,42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,591.687,610.69,613.512,676.861,776.965,765.624,757.335,797.004,884.387,971.448,1018.477,1054.976,1082.753,1169.821
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.994,7.535,7.762,8.301,8.134,8.934,10.714,12.203,14.199,17.032,18.941,19.892,21.104,22.415,23.955
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.123,14.159,15.576,17.174,18.878,21.81,27.779,29.301,31.86,34.369,39.65,45.677,49.982,47.424,49.774,54,54.775,58.797,63.373,67.964,74.173,78.368,79.236,87.444,95.349,104.652,115.063,126.394,138.582
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.669,126.392,120.296,134.301,152.281,172.896,189.318,221.758,262.943,291.383,281.711,341.105,370.819,397.558,420.334,407.339,401.296,413.366,456.357,506.754,543.977,500.462,506.195,495.645,515.906,526.518,558.573,561.509,580.613,602.991,627.723,654.084
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.367,0.477,0.47,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.042,1.16,1.396,1.448,1.59,1.64,1.585,1.556,2.033,2.163,3.625,3.209,2.08,2.015,2.125,2.208,2.343,2.485,2.637,2.797
Togo,1.921,1.616,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.76,4.578,4.717,4.75,5.421,5.417,6.022,6.395,5.756,6.069,6.385,7.032,6.993,7.4,8.338,8.144,9.081,9.776,10.951,12.176,13.069,14.039,15.092,16.241
Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.197,0.203,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.427,0.452,0.441,0.438,0.421,0.46,0.481,0.494,0.503,0.52,0.515,0.513,0.558,0.587,0.616,0.645,0.67,0.693,0.717
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.926,8.295,8.96,9.148,11.464,13.472,16.17,18.6,21.937,28.193,19.52,22.522,25.789,27.147,28.561,29.474,26.841,23.624,23.831,23.883,23.478,20.889,24.223,28.341,25.037,25.634,26.002,26.758,27.813,28.979,30.048,30.863
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,14.133,14.897,17.809,16.724,17.886,20.616,22.324,21.762,22.87,24.066,22.524,23.146,24.274,28.797,32.71,33.851,36.059,40.819,47.039,45.593,46.21,48.122,47.311,48.681,50.273,45.779,44.36,42.167,42.687,41.905,42.494,46.813,44.596,48.541,52.925,59.069,60.434,60.467,61.552,62.295,63.864
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.886,4.997,4.232,5.473,2.217,2.498,2.667,3.594,4.68,6.461,8.107,10.645,13.228,16.003,19.935,24.192,20.049,18.836,21.321,27.776,35.164,39.198,43.524,35.8,36.18,37.926,40.762,44.974,45.455,49.477,56.677,62.814,68.675,72.119,76.897,83.632,91.767,100.714,110.589
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.015,0.014,0.017,0.02,0.023,0.023,0.024,0.029,0.032,0.028,0.033,0.04,0.039,0.039,0.039,0.037,0.041,0.045,0.048,0.054,0.053,0.062,0.054,0.051,0.056,0.058,0.061,0.064,0.067,0.07,0.073
"Türkiye, Republic of",96.629,97.898,88.948,84.996,82.67,92.858,102.371,118.966,125.075,147.777,207.578,208.473,219.25,248.657,179.42,233.645,250.571,261.946,277.693,254.3,273.57,203.001,238.674,317.342,408.309,506.794,554.902,686.909,787.897,656.134,783.025,843.326,882.437,962.457,943.337,868.204,870.339,863.906,807.318,775.223,730.345,827.673,924.752,1153.295,1358.251,1565.471,1576.11,1640.862,1760.433,1866.297,1961.776
Uganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,34.754,30.122,30.232,31.589,34.126,37.895,37.888,42.808,47.263,52.003,56.232,64.993,72.456,79.609,86.889,95.966,106.655
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.747,85.996,107.767,143.26,181.313,117.079,136.011,163.059,175.781,183.31,133.392,90.922,93.349,112.064,130.905,153.904,156.566,199.835,161.987,181.228,190.687,209.713,224.259,238.531,254.463,271.235,288.846
United Arab Emirates,41.725,46.461,43.205,39.588,39.245,38.519,30.526,33.519,34.069,39.325,50.682,49.3,51.952,52.144,57.395,63.432,72.853,77.167,75.304,84.42,102.987,103.312,109.816,124.346,147.812,180.616,222.117,257.883,315.464,253.547,307.736,368.881,392.793,409.633,424.936,381.973,381.717,403.365,440.56,433.926,357.162,422.441,511.403,522.622,552.325,569.097,601.163,639.415,680.124,722.479,764.85
United Kingdom,604.697,588.342,559.326,532.925,504.939,537.2,655.035,814.102,989.706,1007.623,1197.021,1248.625,1289.587,1155.162,1241.72,1344.504,1421.099,1561.239,1653.852,1688.248,1668.69,1650.252,1788.549,2056.294,2422.619,2546.038,2712.257,3091.695,2960.39,2421.476,2487.924,2664.719,2707.571,2786.665,3066.304,2928.558,2699.086,2682.384,2875.024,2853.074,2698.705,3144.079,3125.404,3371.118,3644.636,3958.78,4225.639,4441.871,4673.359,4928.634,5199.779
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16880.675,17608.125,18295,18804.9,19612.1,20656.525,21539.975,21375.275,23725.65,26054.6,27811.5,29298.025,30615.743,31821.293,33019.978,34258.401,35513.831,36814.251
Uruguay,12.217,13.636,11.147,6.119,5.819,5.686,7.059,8.832,9.137,9.63,11.204,13.502,15.515,18.064,21.04,23.267,24.73,26.155,27.704,26.178,24.892,22.802,14.863,13.159,14.959,18.986,21.416,25.603,33.151,34.565,43.967,52.354,55.938,62.857,62.546,58.218,57.58,65.068,65.37,62.229,53.557,60.742,70.6,77.997,80.961,84.986,90.64,94.664,99.564,104.523,109.839
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.476,6.897,8.175,12.746,17.453,18.433,18.738,21.362,17.195,14.581,12.106,12.697,15.045,17.939,21.344,27.963,35.858,41.945,49.772,60.213,67.52,73.192,80.848,85.662,85.658,69.703,58.696,67.294,66.443,77.34,90.125,102.634,114.962,137.48,159.199,178.042,197.321,217.902,240.767
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.775,0.774,0.798,0.88,0.884,0.93,1.008,0.921,1.035,1.125,1.09,1.119,1.176,1.235,1.292,1.351,1.413
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,316.482,372.592,258.931,214.69,125.449,112.915,115.883,102.021,73.014,42.838,56.615,89.013,102.377,119.803,82.767,79.916,no data,no data,no data,no data
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,304.47,331.818,346.31,370.076,411.068,433.008,459.472,484.726,511.059,545.213,583.731,624.103,666.786
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.515,13.99,13.972,15.405,16.128,16.277,17.134,15.532,18.109,19.166,17.848,13.711,no data,no data,no data,no data,no data,no data
