"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Costa Rica,4.854,2.636,2.619,3.162,3.678,3.941,4.425,4.554,4.636,5.25,5.737,7.197,8.566,9.586,10.489,11.578,11.683,12.618,13.688,14.259,15.016,15.979,16.584,17.277,18.615,20.049,22.717,26.885,30.802,30.746,37.656,42.762,47.231,50.949,52.017,56.442,58.847,60.517,62.422,64.412,62.382,64.954,69.235,86.509,95.365,102.637,109.135,115.836,122.994,130.402,138.24
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.568,7.358,16.669,20.657,22.104,22.101,23.971,23.593,22.145,23.067,26.739,35.239,41.82,45.035,49.593,59.303,68.469,62.255,59.032,62.889,57.585,59.854,59.628,51.012,52.64,56.166,61.694,61.472,57.919,69.055,71.26,84.429,92.643,103.901,113.132,118.4,123.879,129.666,135.725
Cyprus,2.314,2.242,2.319,2.321,2.447,2.611,3.317,3.979,4.589,4.901,6.003,6.195,7.424,7.098,8.004,9.937,10.016,9.544,10.251,10.502,9.988,10.397,11.422,14.552,17.328,18.713,20.422,24.082,27.955,26.02,25.821,27.637,25.063,23.96,23.232,19.911,21.041,22.938,25.766,26.2,25.535,30.393,30.96,33.897,36.322,39.943,43.158,45.088,47.362,49.735,52.205
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.565,67.805,62.53,67.161,65.586,62.171,68.136,82.596,100.471,120.148,137.264,156.236,189.845,236.82,207.095,211.169,231.429,210.363,213.024,210.911,189.108,198.161,221.564,251.992,256.794,251.11,290.973,301.831,345.059,347.034,383.384,417.134,433.435,450.45,467.644,485.675
Côte d'Ivoire,13.877,11.502,10.32,9.312,9.284,9.47,12.675,13.944,14.092,13.487,14.923,14.504,15.416,15.268,11.492,15.205,16.78,16.203,17.433,17.114,14.851,15.485,17.148,21.206,22.924,23.626,24.628,28.158,33.621,33.693,34.431,35.529,37.03,43.228,48.882,45.815,48.408,52.512,58.522,60.383,63.119,72.833,71.075,79.63,87.096,99.207,111.446,120.751,131.064,142.9,155.669
Denmark,70.811,61.46,60.084,60.331,58.869,62.452,87.749,109.183,115.54,112.312,138.219,139.182,152.966,143.11,156.019,184.85,187.482,173.242,176.876,177.887,164.043,164.881,178.788,218.422,251.988,265.15,283.387,320.213,354.977,322.621,322.346,344.316,326.793,344.631,352.833,301.759,312.182,331.611,355.293,345.402,355.631,406.11,400.115,404.652,424.525,459.612,500.051,521.566,542.455,563.668,585.835
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.635,0.65,0.672,0.655,0.691,0.699,0.694,0.706,0.722,0.759,0.781,0.811,0.837,0.882,0.936,0.996,1.08,1.191,1.382,1.426,1.544,1.74,1.901,2.044,2.221,2.424,2.605,2.763,2.913,3.089,3.144,3.393,3.563,3.917,4.291,4.613,5.003,5.406,5.779,6.132,6.557
Dominica,0.073,0.082,0.09,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.498,0.52,0.541,0.576,0.522,0.555,0.612,0.504,0.555,0.607,0.654,0.698,0.748,0.791,0.831,0.873,0.914,0.957
Dominican Republic,8.672,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.174,48.281,53.862,58.006,60.627,62.631,67.098,71.056,75.625,79.153,85.068,89.237,78.625,95.067,113.813,120.794,124.613,129.748,138.34,148.48,159.305,170.854,183.123
Ecuador,16.116,16.501,16.474,14.478,15.408,18.02,13.222,12.355,11.749,11.531,11.71,13.139,14.367,16.783,20.238,21.98,23.001,25.847,26.292,18.891,17.531,23.127,27.054,30.965,35.195,40.279,45.691,49.849,61.139,60.095,68.151,78.987,87.735,96.57,102.718,97.21,97.671,104.467,107.479,107.596,95.865,107.179,116.133,121.147,124.676,130.529,134.711,140.226,146.065,152.413,159.376
